CODGEO;SNHM20;SNHMC20;SNHMP20;SNHME20;SNHMO20;SNHMF20;SNHMFC20;SNHMFP20;SNHMFE20;SNHMFO20;SNHMH20;SNHMHC20;SNHMHP20;SNHMHE20;SNHMHO20;SNHM1820;SNHM2620;SNHM5020;SNHMF1820;SNHMF2620;SNHMF5020;SNHMH1820;SNHMH2620;SNHMH5020
01143;18.7623763292383;36.7076048514888;15.528738914154;11.9340870037053;12.2523649846059;15.9006135538016;28.5653180389879;14.8375017896804;11.8614650824754;11.947045306529;21.2633314032273;41.8311072553032;16.3262874327528;12.0400911404292;12.3219179975856;10.6438695152292;18.3568234411869;23.7923210536134;10.3976932474522;16.3544500818619;18.4631356518131;10.9170776878457;20.1605718894567;27.6560996183191
01153;19.1738210359846;33.3568119329806;18.2489663273262;12.4307695866925;12.5972306286873;16.7348093683297;27.9280476993707;16.7884148969764;12.5361678522553;18.2995772164831;20.9734820831562;35.6610011854951;20.2564724328555;12.2470649945107;11.8196657200843;10.0543898003873;21.8405943281913;19.0092541587629;9.80034300688595;17.4837320226309;19.1657509128855;10.2273685184804;25.2556676149691;18.9027143114971
01157;17.3998708055379;27.7439208339558;16.9385525059641;11.8724486933866;12.3155053943527;14.0654806668357;21.7506034449726;15.1453643498095;11.3145900749275;10.6974196593402;19.8316356648298;29.8971178683943;18.550940925083;13.8225119135435;12.7187367124883;10.6091254284711;17.0951393760361;20.4507149897661;10.3895293690339;14.3198285229601;14.8535857656862;10.8001885721813;19.0216344175993;24.759614631391
01159;14.2565357627209;25.5320509751224;14.9029222849239;11.8206428857708;11.8816386326134;12.8844352167061;22.6269197561239;14.0779213695754;11.6133819807076;10.575777398145;15.1653694535253;26.4801647841685;15.6616746717817;12.394899473701;12.2015695725297;10.5371657605024;14.5062569535058;15.3912277972754;10.192946640191;13.1165403269293;13.3638518709851;10.7080109024423;15.4750348529208;16.7490137058058
01160;13.2667410373033;26.3761688633757;15.8425501388451;10.9256253635105;11.2222179314594;12.1347618338929;22.1115608779057;13.8169012863033;10.8600324721755;10.2828305971287;14.1003461301476;28.2927420032221;17.9489830769688;10.9937206099229;11.4787335954897;10.4078445176391;13.1154345342339;15.1782200664523;10.4240282486632;11.6259255533743;14.3443668851223;10.3940328384281;14.1873694752585;15.7750838142678
01163;13.8811604936354;23.2029290993068;15.6296591045649;11.2895611315341;12.1270652361358;12.8912358501389;19.2802406860016;14.3100598722962;11.2994975131464;10.6288579061389;14.5341690230593;25.8756775232379;17.1624868797847;11.2392934050554;12.3728064135415;10.3538779880492;13.8669597835575;15.2119223833885;10.0557950443854;13.1973542376482;13.1271195052329;10.5027832362058;14.3299731383122;16.5910599599136
01166;16.331062834739;25.826650909069;16.3541777949873;11.9498664564559;12.3969728343956;14.4330628766352;24.7746607598083;14.9442674291058;11.6820285081311;10.8022717393339;17.6947350626986;26.2414510573432;17.3997855956375;12.9451690817918;12.7501950381956;10.6286789064731;16.1490924322258;18.4849600867873;10.360921047898;15.1064275633973;14.2180883977327;10.77666636612;16.8632812359879;22.1334776537962
01173;14.1169634434756;25.0784917209625;15.2715458196621;11.459275354774;12.6218347242226;13.2112389167887;21.3021433548724;14.9470707530985;11.486814937917;10.5610897082495;14.9328403823895;27.5651539909793;15.7718829438872;11.4111473442555;12.9297992136692;10.7183211833713;14.3765025223392;15.6450745811828;10.6272249085928;13.5527153287314;14.2688442401087;10.8297988251127;15.0541063177344;16.9451921638675
01185;13.2099698743124;26.1712282382403;15.4033464596614;10.7674546315795;11.2078173938942;12.8776750619422;27.0078741915718;15.3659414453262;10.7825038087685;9.13013407158558;13.4306500501433;25.8478905115279;15.4425065246431;10.735369043117;11.41460881534;10.5544877325395;12.9764670291408;14.7612931436227;10.9239225774811;12.9118656487134;13.6227140910289;10.2868832760764;13.0159721701969;15.6111281765109
01192;14.6230456656556;23.6059955235519;15.8826898323421;11.9220394634803;12.3025216388384;12.6482334746203;18.995081504845;14.5118108875793;11.9553050535459;10.7126889100262;15.9877174577744;25.3602402857444;16.7328363837992;11.7763047749975;13.0791261450017;10.8394209150008;14.8563905765958;15.4144770524542;10.7355865231;12.8854993197155;12.6711763363082;10.8878250316048;16.411685672156;17.0978540276321
