CODGEO,total_establishment,micro_firms,small_firms,medium_firms,large_firms,agriculture_est,industry_est,construction_est,commerce_transport_est,public_est
01286,10,7,0,0,0,3,0,2,3,2
01288,46,36,5,2,0,3,5,7,25,6
01289,241,160,50,11,2,2,24,40,143,32
01290,48,43,4,0,0,0,10,9,25,4
01291,19,16,2,1,0,1,2,3,11,2
01293,1,1,0,0,0,1,0,0,0,0
01294,19,12,4,0,0,2,3,4,6,4
01295,13,10,0,0,0,2,2,3,3,3
01296,7,6,0,0,0,3,0,0,3,1
01297,16,15,0,0,0,0,1,4,9,2
01298,3,1,0,0,0,1,0,1,0,1
01299,17,15,1,0,0,4,0,2,8,3
01301,80,61,14,0,0,7,9,12,39,13
01302,6,3,0,0,0,0,0,3,2,1
01303,46,29,8,2,0,4,3,5,26,8
01304,108,80,14,6,0,1,14,15,67,11
01305,127,99,17,1,2,1,16,8,89,13
01306,46,35,7,2,1,0,4,4,28,10
01307,36,28,2,3,1,0,11,5,16,4
01308,5,4,1,0,0,1,1,0,1,2
01309,4,4,0,0,0,2,0,0,0,2
01310,6,4,0,2,0,2,0,1,0,3
01311,3,2,0,0,0,1,0,1,1,0
01313,100,77,13,2,0,2,3,4,65,26
01314,38,31,2,1,0,1,2,8,24,3
01317,3,3,0,0,0,0,0,0,2,1
01318,17,13,2,0,0,3,1,4,7,2
01319,12,9,0,0,0,2,0,4,3,3
01320,122,85,23,2,0,2,15,24,76,5
01321,11,11,0,0,0,0,0,1,8,2
01322,158,109,28,8,1,1,22,31,93,11
01323,13,12,1,0,0,0,2,4,5,2
01325,15,12,0,0,0,4,0,4,4,3
01328,15,9,3,1,0,3,0,2,5,5
01329,4,4,0,0,0,0,1,0,2,1
01330,7,6,0,0,0,3,0,0,2,2
01331,5,4,0,0,0,4,0,0,0,1
01332,19,15,2,0,0,1,2,5,8,3
01333,158,107,26,5,0,4,22,23,94,15
01334,15,15,0,0,0,1,3,3,7,1
01335,12,11,1,0,0,2,0,2,6,2
01336,23,19,2,1,0,5,4,1,10,3
01337,29,22,5,0,0,6,1,4,15,3
01338,30,21,4,0,0,4,4,6,13,3
01339,30,26,1,1,0,0,3,4,20,3
01342,18,14,1,0,0,5,0,0,9,4
01343,50,39,5,0,1,5,7,10,25,3
01344,169,127,30,4,0,5,11,30,108,15
01345,31,23,4,0,0,0,3,7,15,6
01346,17,16,0,0,0,2,0,4,8,3
01347,37,30,1,0,0,2,2,8,24,1
01348,106,78,17,1,1,4,14,17,61,10
01349,12,11,1,0,0,3,0,5,2,2
01350,75,59,11,1,0,9,7,6,45,8
01351,28,24,3,0,0,2,2,9,13,2
01352,6,5,1,0,0,1,1,0,1,3
01353,35,27,4,0,0,0,2,7,22,4
01354,340,244,58,8,0,0,26,30,246,38
01355,11,8,1,1,0,2,2,1,4,2
01356,4,4,0,0,0,1,0,1,1,1
01357,12,10,1,0,0,1,3,2,4,2
01358,8,6,0,0,0,1,1,2,1,3
01359,8,7,0,0,0,4,1,0,2,1
01360,23,14,5,1,0,1,3,5,10,4
01361,26,21,1,0,0,0,2,5,17,2
01362,31,30,1,0,0,0,3,11,14,3
01363,49,39,5,1,0,2,7,11,22,7
01364,14,10,1,1,0,5,2,3,1,3
01365,27,21,6,0,0,3,2,6,14,2
01366,11,8,1,0,1,0,3,0,6,2
01367,24,20,3,0,0,3,1,5,11,4
01368,18,14,0,0,0,2,2,6,5,3
01369,31,19,4,2,1,2,3,4,15,7
01370,47,38,5,1,0,0,0,6,35,6
01371,14,12,1,0,0,1,2,2,7,2
01372,10,7,1,0,0,1,0,3,4,2
01373,46,32,9,2,0,2,10,6,25,3
01374,42,30,6,0,0,5,5,8,20,4
01375,10,8,1,0,0,5,1,2,1,1
01376,103,71,15,6,2,1,13,11,64,14
01378,55,46,4,1,0,3,2,14,31,5
01379,12,9,2,0,0,1,2,2,5,2
01380,25,20,1,0,0,4,6,4,8,3
01381,21,19,0,0,0,3,1,8,8,1
01382,10,10,0,0,0,3,1,0,5,1
01383,35,26,4,2,0,4,6,4,15,6
01384,48,33,10,2,0,2,4,6,25,11
01385,33,25,4,3,0,4,2,9,15,3
01386,22,13,6,1,0,1,3,2,11,5
01387,4,4,0,0,0,0,0,1,2,1
01388,43,33,8,1,0,3,7,3,23,7
01389,51,38,6,1,0,4,6,10,26,5
01390,149,71,37,31,6,2,28,8,100,11
01391,7,4,2,0,0,1,2,0,3,1
01392,7,7,0,0,0,0,0,1,5,1
01393,13,13,0,0,0,5,0,2,4,2
01396,22,13,4,2,0,0,6,2,11,3
