CODGEO,mean_salary,mean_salary_male,mean_salary_female,mean_salary_executive,mean_salary_executive_female,mean_salary_executive_male,mean_salary_middlemanagement,mean_salary_middlemanagement_female,mean_salary_middlemanagement_male,mean_salary_employee,mean_salary_employee_female,mean_salary_employee_male,mean_salary_worker,mean_salary_worker_female,mean_salary_worker_male,mean_salary_youngage,mean_salary_youngage_female,mean_salary_youngage_male,mean_salary_mediumage,mean_salary_mediumage_female,mean_salary_mediumage_male,mean_salary_oldage,mean_salary_oldage_female,mean_salary_oldage_male
35135,13.8671934081346,14.5917929089316,12.7526107282283,22.5157463690915,20.9947928299283,23.1158428648753,14.8954061990804,14.6955924075198,15.0366746572388,11.4036352834149,11.0539944191374,12.4668898180545,12.3102097629887,11.0858968507306,12.5466731350014,10.2215795889762,9.84435508526779,10.4245825038287,14.2300342515152,12.9689832404073,15.0507300060829,14.7083138566518,13.4548751647768,15.614809910855
35136,14.5663069049068,15.6596345318159,12.9112171531964,25.0482256156652,20.9932875129388,26.5179498019584,15.2323637819839,14.0854434515163,16.1358918421611,11.3820106052154,11.2204128105546,11.8240243636958,11.9865103436806,11.1526959748331,12.1840537422302,10.4454882012007,10.0280207307449,10.725120594351,14.7310099371883,13.4758783261946,15.5883984289896,16.2454026148595,12.9847593269834,18.2150469731119
35137,13.8843358906101,14.7515101918949,12.6459700375122,23.6892948815766,22.2147348775022,24.2457653706437,15.0612620638703,13.5942596921137,16.1287845025014,11.4339942050655,11.3663438253937,11.6425222266504,11.6836427303863,10.741338223584,11.9686882064921,10.0333870636741,9.8058938297118,10.1632670891479,14.0284030171958,12.6623013045511,15.0518948718654,14.8939306100644,13.5767482186866,15.7158382713634
35139,17.5626175176192,19.4318714192185,14.9973162316685,27.5950336212488,23.9114727301278,29.144478502372,15.9850706837603,14.8226202417596,17.0208459229712,11.8930769299533,11.6279273577148,12.7966468087671,12.0422459797596,10.8281597876425,12.3115391106356,10.6422356100934,10.2487917820605,10.9353047286502,17.2871813511206,15.286955521272,18.8437514212706,19.9611697648183,15.7620459493096,22.6299119323944
35150,15.2660053869628,16.6901215936939,13.2345610565793,27.2605174693854,20.1601424109754,29.8626974889543,15.2453389170318,14.4754953501667,15.8711502132752,11.6501994131813,11.648615264048,11.6558221187595,12.2065372737004,11.4593845430913,12.4285772423034,10.5776985343485,10.4450473877205,10.6673276451086,14.4691578199265,13.1133548440558,15.422810670721,17.9844416520344,14.207120254094,20.6438396367466
35152,16.5048621347578,18.1596536445311,14.2024285019256,24.9075183447928,21.8240453248052,26.1815193305126,15.4398667599163,14.2002586301977,16.4647614536474,11.6902548825239,11.5597029237164,12.1026317944059,12.0295443759712,10.6107762228919,12.402451464027,10.4535462542067,10.3265312540729,10.5496524507116,16.6483241991832,14.6278996733971,18.0715590258827,18.6700195431837,14.6865830348991,21.6361334338456
35162,12.4365114569544,12.9149580486151,11.8234991847892,20.8662472740983,19.188063751778,21.37105874944,15.0134670682078,13.8510569381684,16.0973454274998,10.8567826108811,10.8934281804322,10.7212280675729,11.6829480476419,11.5699778571422,11.7210625270602,10.3497563734921,10.3473147688898,10.3516021338126,12.5181922542677,11.9766037460595,12.9105487750689,12.9587268614936,12.0110204364801,13.8106049369542
35167,13.5012660338598,14.3727964170713,12.1166125331325,24.5493457560501,19.1026926229458,28.1862264306418,14.9531961198423,13.7920201206905,15.5320279065775,11.2576335623968,10.9964154680906,12.6952468340264,12.0833197302713,10.909186973587,12.4332419584249,10.5657213317237,10.5024979008389,10.6121845231268,13.5264273594386,12.6511604309527,14.1041956791748,14.5422637850472,11.5680148438745,16.1338087559331
35168,13.2652316222629,13.7882033222989,12.3234768527091,22.2002713770024,20.1128256571668,23.5540106302384,14.7763635408005,13.5886153738922,15.3904916852234,11.2769226074368,11.0661114956392,11.8430529428911,11.9711341930385,10.7491061352796,12.2932310333019,10.2891663467786,9.97021452066378,10.5193536398723,13.4284529083879,12.6771787324092,13.8147367762354,13.9968039681395,12.5644213940579,14.8533866741843
35173,17.1306666858628,18.9988799024209,14.7499686744521,26.0594364664013,22.6443119845815,27.4838461201267,15.8201427032595,15.0238691948584,16.6598910550737,11.9489131917805,11.6412773459437,12.8971102967912,11.9318249935988,10.2155905795683,12.2635416677631,10.4061815352772,10.0004403467176,10.7800176198972,17.3614098233466,15.3007857526969,18.9529157757049,19.0866420360533,15.1546233307903,22.1233391368386
35176,13.4632047251922,14.1752751616589,12.4439320572073,22.7391564158378,20.9387782180613,23.5132225420214,15.015151224251,14.0220583392192,15.875008792396,11.2413609044332,11.0476349803581,11.9418569242748,11.9783133349516,11.0083122720812,12.1964659252525,10.3692584907739,9.79560191064876,10.7827296307213,13.5704010398875,12.6619501187584,14.2092470587853,14.5104731904818,13.0476366915751,15.5019466986913
35177,17.2155518720526,18.8497752229419,14.9462097035506,25.8296213402951,22.1948120195219,27.2902573068908,16.1620308100552,15.1655586161467,17.1217144074472,12.067941283157,11.869562008283,12.5721391926292,12.2052559907964,11.820920920077,12.2700781402638,10.6809447263526,10.7982477208586,10.6107639205704,17.1809469374092,15.0723871641077,18.7331614852309,19.4837319717492,15.8909570898164,22.0987224109641
35179,13.2045957460153,13.9022658362494,12.2025899297294,22.9354211358063,21.1032014024717,23.8147287700737,14.4423057345586,13.7740650393306,14.9887186755543,10.990091178179,10.7925794749077,11.6448977811019,11.8910474795875,10.7066851894872,12.1775179247088,10.3132736355144,10.1591886487809,10.424605227887,13.3536493899162,12.4047572893972,13.9942590025791,14.2972080999531,12.667967863855,15.5274754924043
35184,14.4410153624885,15.4159526530135,12.9517664080887,24.3585680164537,21.401646520714,25.6991269420798,15.3681258936391,13.7750629244472,16.6207718484793,11.4139673986074,11.2577570961771,11.8588767606123,11.9271672696906,10.5244521392689,12.2636065296011,10.4182834598,10.2384098937933,10.5248166424546,14.53968614519,13.169513264298,15.4343535392808,16.302403049386,13.6753242433797,18.1275019563016
35188,15.5344435840146,16.4821759776655,14.079555909595,25.4262070478242,21.7644279823,27.25140747518,15.566638406528,14.686058925232,16.2814951009427,11.3705650479882,11.2830264377868,11.5649505878257,11.5138762402211,10.5059136757118,11.7127075343101,10.1318633208954,10.0679707384821,10.1609139415531,15.3944890046486,14.3824566874339,16.0612693099013,17.9163139549635,14.6742783681443,20.2735327092681
35189,17.4875001393559,18.8467786334792,15.8250771421538,27.0290064012467,24.46552999368,28.4042992353963,15.6918333628282,15.6165073648612,15.7699953639776,11.9689676109591,11.9108414537887,12.1543903131635,11.4016543675357,9.93448597804777,11.7458756817783,10.5629729064489,10.4179161105272,10.6950741498146,17.1658514488071,15.6078426646705,18.3609023452932,21.1062288577096,18.4933792323444,23.5181764439085
35191,12.9602997756594,13.5379755183878,12.0550452195152,20.3733105326373,17.8493651723845,21.7338715921729,15.0201419652209,13.9736898616222,15.7172007077123,10.8987920530789,10.5620724774599,12.1000282794379,12.369937801432,12.24409162833,12.4059542650453,10.1755671044399,9.38338056889805,10.6175255315852,13.297075136849,12.3956659418487,13.8742801661473,13.5080261377105,12.370080483819,14.2862811102827
35195,14.189686131244,14.8935332654868,13.1588367486915,21.2255584491312,20.4179045362252,21.6116746727988,14.8206998964312,14.2034949380863,15.3250040943001,10.938876146288,10.7815387893846,11.4806891364633,12.0779169929,10.9164960231884,12.2689918470334,10.6394854787726,10.2376106766667,10.9534657753689,14.3821819360943,13.2884280474016,15.1347857963814,15.1362187936196,14.167894049947,15.7459884033692
35196,15.2157596292201,16.1896473658686,13.8290747797631,25.351993763394,21.760496840834,26.9555774521153,15.3448293737487,14.8104546555912,15.7675528616061,11.8175897956653,11.6819596436421,12.1285485454188,11.4178619031384,10.6658350752137,11.6012989830609,10.3050331614085,9.92776585912443,10.5457313737895,15.0880876437904,14.0601158543305,15.8277376422837,17.5910561073605,14.9450358171816,19.433989405171
35204,15.9885491008996,17.2724899952137,14.1885134849022,24.2494861334332,22.4439626994907,24.9350034803609,15.6433561585402,14.6475134875335,16.6020999246367,11.9591889822257,11.4952271025487,13.2661669619489,11.8323437720152,11.0697744062376,12.0020142951975,10.6091603521819,9.76287061768978,11.2496741174245,15.9396515833903,14.238015599195,17.1087956432557,17.5448399044666,15.2239293027465,19.3431943456278
