CODGEO,mean_salary,mean_salary_executive,mean_salary_middlemanagement,mean_salary_employee,mean_salary_worker,mean_salary_youngage,mean_salary_mediumage,mean_salary_oldage,gender
01071,16.5681611429269,31.6897478568809,16.885565237877,12.6565586402451,14.1999161969545,10.9169748909103,15.9629540297081,22.0161765958154,1
01071,13.8629147775542,22.2647916591995,15.4115719931172,11.7755103003422,11.4914170519775,10.4208499347787,13.8542322636745,15.8791887188609,2
01072,18.0229293276461,29.9774899510961,17.5365487618366,12.9510307742096,12.6933153435109,11.1300511716121,16.7829555884265,22.7963232809019,1
01072,14.5724936123731,24.3855677700698,14.9528712755518,11.5323106053577,10.7394163892082,10.1772624977675,14.2182581452993,16.5115495317292,2
01074,16.8963943060592,28.0880414253464,17.3155064236096,14.3144015897151,12.7709152691882,10.9299045870429,16.3309514612267,20.8989039658425,1
01074,13.2187204821579,23.0082691392043,14.3032570252348,10.9269772384003,10.4757168363557,10.4241437393519,13.7014703232789,13.2018489756489,2
01089,13.0246032026165,20.20006431368,14.8333846956049,11.6513513188724,11.3207715975342,10.7056873929636,13.295541310797,12.9398667832139,2
01089,16.1981305916135,25.5597548325885,17.3027794917139,12.2198992434043,12.9324769388919,10.7493425660064,16.5092149180346,17.6163441124696,1
01093,13.2640502266296,21.0910273554145,14.9708577621311,11.3567066166638,11.9061600632573,10.1984189453113,13.3359350344326,14.4735880166091,2
01093,15.9544931151884,25.7561285167028,16.6404709428792,11.5801983210728,12.7022602328096,11.227451963762,15.6354653382456,19.0276212360932,1
01103,14.7191198693054,22.996701768881,14.4418771301004,13.0176064087514,10.4421095566863,11.8333216141923,15.7998167916997,12.2260731883866,2
01103,15.6409220263097,27.8384639743307,17.577637722339,11.6554846558818,12.6513822713387,11.1932316242341,16.3091945722333,16.3484265928321,1
01109,12.6312299146673,30.7113569598285,12.8231067909666,11.1328658664196,9.98816310045414,9.6157931435769,13.5318985188789,12.2713783061459,2
01109,14.6927954988256,22.9506846085823,16.5590543604211,11.3083597352829,12.610913131266,11.8690883066927,14.9427912844661,16.2682602254133,1
01130,12.8433993341312,20.4179249773588,14.3068568219652,11.4633494087162,10.9185639993365,10.0495749907594,13.1546752374123,13.2027672486336,2
01130,14.6190872775456,23.1225892545878,17.0726330549148,12.8152087481933,12.4853640943653,10.561229314633,15.1888203514886,14.804533979355,1
01135,13.6085231848683,18.3999151917781,14.4312281410322,12.3470137951993,12.5435913091694,10.4047415869171,13.9854274586714,15.5256575605551,2
01135,16.8108985471199,28.2834808410221,20.1005280489776,12.9097938657769,11.8081831575042,12.4319382139618,16.6026440802283,21.1089207142734,1
01138,12.3301135879249,22.2095414100096,14.9539769017794,10.9689285180257,11.2272894366892,9.61786169203435,12.6334595764515,12.8130216935423,2
01138,14.9492010571475,25.9093006744178,15.5937227370212,12.2624449213278,13.4274539644489,11.3753285003141,14.3278452568519,17.2970649521161,1
01142,17.3345713360075,26.5902710832514,17.3372460992675,13.3351257883689,13.1797176525194,10.7514872674624,17.1229379728748,20.100120459314,1
01142,14.6516047749534,22.273370021959,15.4878685859007,12.4425234565124,10.7008155882599,10.1656487438363,15.1128624674645,15.0084162753161,2
01143,21.2633314032273,41.8311072553032,16.3262874327528,12.0400911404292,12.3219179975856,10.9170776878457,20.1605718894567,27.6560996183191,1
01143,15.9006135538016,28.5653180389879,14.8375017896804,11.8614650824754,11.947045306529,10.3976932474522,16.3544500818619,18.4631356518131,2
01153,20.9734820831562,35.6610011854951,20.2564724328555,12.2470649945107,11.8196657200843,10.2273685184804,25.2556676149691,18.9027143114971,1
01153,16.7348093683297,27.9280476993707,16.7884148969764,12.5361678522553,18.2995772164831,9.80034300688595,17.4837320226309,19.1657509128855,2
01157,19.8316356648298,29.8971178683943,18.550940925083,13.8225119135435,12.7187367124883,10.8001885721813,19.0216344175993,24.759614631391,1
01157,14.0654806668357,21.7506034449726,15.1453643498095,11.3145900749275,10.6974196593402,10.3895293690339,14.3198285229601,14.8535857656862,2
01159,12.8844352167061,22.6269197561239,14.0779213695754,11.6133819807076,10.575777398145,10.192946640191,13.1165403269293,13.3638518709851,2
01159,15.1653694535253,26.4801647841685,15.6616746717817,12.394899473701,12.2015695725297,10.7080109024423,15.4750348529208,16.7490137058058,1
01160,14.1003461301476,28.2927420032221,17.9489830769688,10.9937206099229,11.4787335954897,10.3940328384281,14.1873694752585,15.7750838142678,1
01160,12.1347618338929,22.1115608779057,13.8169012863033,10.8600324721755,10.2828305971287,10.4240282486632,11.6259255533743,14.3443668851223,2
01163,12.8912358501389,19.2802406860016,14.3100598722962,11.2994975131464,10.6288579061389,10.0557950443854,13.1973542376482,13.1271195052329,2
